"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"January 12, 2018",Virginia,"Newport News","13200 block of Aqueduct Dr",0,1,N/A
"January 12, 2018","North Carolina",Durham,"3804 N Duke St",0,1,N/A
"January 12, 2018",Tennessee,Nashville,"2614 Jenkins Ct",3,2,N/A
"January 11, 2018",Illinois,Rockford,"800 Concord Ave",0,1,N/A
"January 10, 2018",Louisiana,"Monroe (Richwood)","Highland Road",0,1,N/A
"January 10, 2018",Missouri,"Saint Louis","10400 block of Count Dr",0,1,N/A
"January 9, 2018","North Carolina",Statesville,"Caldwell St",0,3,N/A
"January 8, 2018",Texas,Galveston,"5222 Seawall Blvd",4,0,N/A
"January 8, 2018",Louisiana,Shreveport,"2619 Merwin Street",0,1,N/A
"January 7, 2018",Florida,Marianna,"FL 73",0,1,N/A
"January 6, 2018",Alabama,Gadsden,"1000 Rainbow Drive",0,2,N/A
"January 5, 2018",California,"Santa Clarita","28800 block of Startree Ln",4,0,N/A
"January 4, 2018",Missouri,"Kansas City","300 block of E 6th Terrace",0,1,N/A
"January 4, 2018",Illinois,Maywood,"500 W Lake St",1,3,N/A
"January 4, 2018",Louisiana,"Baton Rouge","900 Block of N 31st St",0,1,N/A
"January 2, 2018",Pennsylvania,Orwigsburg,"214 E Market St",0,1,N/A
"January 1, 2018","North Carolina",Charlotte,"2305 Farmer St",0,2,N/A
"January 1, 2018",California,"Los Angeles","Baring Cross and W 88th St",0,1,N/A
"January 1, 2018",California,"Los Angeles","105th St and Denker Ave",0,3,N/A
"January 1, 2018",Alabama,"Bessemer (Concord)","6400 block of William Dr",1,0,N/A
"January 1, 2018",Michigan,Flint,"5501 Granville Ave",1,0,N/A
