Date,Address,lat,lon,Killed,Injured
8/10/14,"N/A, Wrightsville, Georgia",32.7293279,-82.719859,0,6
8/12/14,"Oakmont Avenue, Buffalo, New York",42.9323808,-78.8078502,1,3
8/13/14,"Treeland Drive, Clarksville, Tennessee",36.58957,-87.3100759,0,4
8/13/14,"New Orleans and North Rocheblave streets, New Orleans, Louisiana",29.9812248,-90.0660797,0,4
8/14/14,"797 Pope Street, Memphis, Tennessee",35.154015,-89.956144,1,3
8/16/14,"West 3rd Street and Monroe Avenue, Plainfield, New Jersey",40.6041741,-74.4381949,1,3
8/16/14,"122 Pierpont Avenue, Salt Lake City, Utah",40.7641671,-111.8950507,0,6
8/17/14,"Purdue Street and Georgetown Avenue, East Palo Alto, California",37.4789729,-122.1377406,1,3
8/17/14,"Owens Avenue and H Street, Las Vegas, Nevada",36.1884083,-115.1518779,0,4
8/17/14,"153-38 118th Ave, Queens, New York",40.6808923,-73.7884812,0,4
8/17/14,"Edinboro Street, Boston, Massachusetts",42.3521491,-71.0597534,0,4
8/20/14,"1400 block of Briarcrest Lane, Memphis, Tennessee",35.2244137,-90.0149543,0,5
8/24/14,"1400 block of Celis Street , San Fernando, California",34.2860305,-118.4461364,3,4
8/24/14,"8300 block of South Halsted Street, Chicago, Illinois",41.7432227,-87.6438007,1,3
8/24/14,"1013 Carrie Street, Augusta, Georgia",33.4665651,-81.9742651,1,3
8/27/14,"16600 block of Edmore, Detroit, Michigan",42.447252,-82.948481,1,3
8/29/14,"820 Peach St, Brooksville, Florida",28.5459223,-82.390906,3,1
9/2/14,"25000 block of Fifth Street , Highland, California",34.108463,-117.2320131,0,5
9/2/14,"3622 Medgar Evers Boulevard, Jackson, Mississippi",32.3405229,-90.2140529,2,3
9/3/14,"East 27th and Stanford , Los Angeles, California",34.0198906,-118.260077,0,6
9/4/14,"2400 block of Martin Luther King Boulevard, Flint, Michigan",43.0384242,-83.704113,0,5
9/6/14,"2015 Orange Blossom Trail, Orlando, Florida",28.5205045,-81.3965276,0,4
9/11/14,"14000 block of Patton, Detroit, Michigan",42.387662,-83.24284,1,7
9/14/14,"229 Naval Air Station Drive, Flour Bluff, Texas",27.6783188,-97.2762385,3,1
9/19/14,"32-14 106th St, Queens, New York",40.75929,-73.863359,0,4
9/20/14,"N/A, Panola County, Mississippi",34.4198016,-89.9253233,2,2
9/21/14,"440 First St, East Liverpool, Ohio",40.6309014,-80.5533738,0,4
9/26/14,"600 block of Turner Road, Darlington County, South Carolina",34.2592117,-79.7670811,1,4
9/27/14,"2000 block East John Avenue, Saint Louis, Missouri",38.6716819,-90.209797,0,5
9/28/14,"2800 block of Hope Street, Philadelphia, Pennsylvania",39.9926538,-75.1312117,0,4
9/29/14,"29 Sandy Dam Lane, Walterboro, South Carolina",32.885248,-80.620366,1,7
9/29/14,"2300 block of West Fountain Way , Fresno, California",36.7813624,-119.8381184,0,4
10/4/14,"1400 block of Gherald Street, Memphis, Tennessee",35.169824,-89.920798,2,2
10/4/14,"1925 West Holt Avenue , Pomona, California",34.0617641,-117.7840973,0,4
10/5/14,"East 7 Mile Road and Sherwood Street, Detroit, Michigan",42.433768,-83.0340459,1,5
10/5/14,"7300 block of Linda Drive, Jacksonville, Florida",30.387035,-81.6723193,3,1
10/8/14,"Auburn Avenue and Edgewood Avenue, Atlanta, Georgia",33.7540928,-84.3798768,0,4
10/8/14,"1846 Western Ave, Guilderland, New York",42.6914544,-73.8711428,4,0
10/11/14,"222 Bleecker Street, Utica, New York",43.1012914,-75.2284346,0,5
10/12/14,"1100 block of East March Lane, Stockton, California",38.0018399,-121.2920357,3,1
10/12/14,"Arthur Langford Jr Place, Atlanta, Georgia",33.7120678,-84.3977631,1,3
10/13/14,"85 Mount Zion Road, Atlanta, Georgia",33.6732435,-84.3905948,0,4
10/14/14,"6505 Bannor Lane, Peachtree Corners, Georgia",33.9504687,-84.2511543,3,2
10/16/14,"Mogul Street, Detroit, Michigan",42.4167375,-82.9621522,1,3
10/18/14,"33-02 Queens Blvd, Queens, New York",40.7443436,-73.931566,0,4
10/18/14,"192 Breezy Hill Road, Graniteville, South Carolina",33.5661983,-81.8430398,1,3
10/18/14,"Lenox Road, Brooklyn, New York",40.6548805,-73.9379985,0,4
10/24/14,"5611 108th St Ne, Marysville, Washington",48.0921144,-122.1545805,5,1
10/24/14,"2030 Arden Way, Sacramento, California",38.5957213,-121.4181899,2,3
10/26/14,"1410 Old Dover Road, Cadiz, Kentucky",36.8291448,-87.8496534,4,0
10/29/14,"Yale Road and Ramill Road, Memphis, Tennessee",35.220534,-89.9271708,0,5
11/5/14,"1100 block of Alabama Street , San Francisco, California",37.7542822,-122.411139,0,4
11/7/14,"136th Street , Compton, California",33.9081057,-118.2466961,0,4
